"","Family","Qsd1","correlation","trait","Population","Model"
"1","DH130910","2",NA,"TP3_GI","Full","Base"
"2","DH130910","Overall",NA,"TP3_GI","Full","Base"
"3","Flavia/DH130910","2",0.366463495827946,"TP3_GI","Full","Base"
"4","Flavia/DH130910","Overall",0.366463495827946,"TP3_GI","Full","Base"
"5","Overall","0",0.189828950695381,"TP3_GI","Full","Base"
"6","Overall","2",0.585185422554676,"TP3_GI","Full","Base"
"7","Overall","Overall",0.846977767070853,"TP3_GI","Full","Base"
"8","Scala/DH130910","0",-0.0156244259178992,"TP3_GI","Full","Base"
"9","Scala/DH130910","2",0.0302725450711843,"TP3_GI","Full","Base"
"10","Scala/DH130910","Overall",0.709414838178791,"TP3_GI","Full","Base"
"11","SY_Tepee/DH130910","0",0.0817832955724477,"TP3_GI","Full","Base"
"12","SY_Tepee/DH130910","2",0.726522563509205,"TP3_GI","Full","Base"
"13","SY_Tepee/DH130910","Overall",0.871518014894098,"TP3_GI","Full","Base"
"14","Wintmalt/DH130910","0",0.605169753397785,"TP3_GI","Full","Base"
"15","Wintmalt/DH130910","2",0.762861006702021,"TP3_GI","Full","Base"
"16","Wintmalt/DH130910","Overall",0.950374834194536,"TP3_GI","Full","Base"
"17","DH130910","2",NA,"TP3_GI","Full","Base"
"18","DH130910","Overall",NA,"TP3_GI","Full","Base"
"19","Flavia/DH130910","2",0.207280311107877,"TP3_GI","Full","Base"
"20","Flavia/DH130910","Overall",0.207280311107877,"TP3_GI","Full","Base"
"21","Overall","0",0.34026406352087,"TP3_GI","Full","Base"
"22","Overall","2",0.485795939241872,"TP3_GI","Full","Base"
"23","Overall","Overall",0.847780168387111,"TP3_GI","Full","Base"
"24","Scala/DH130910","0",0.188399903099065,"TP3_GI","Full","Base"
"25","Scala/DH130910","2",0.345671797272934,"TP3_GI","Full","Base"
"26","Scala/DH130910","Overall",0.762536616278177,"TP3_GI","Full","Base"
"27","SY_Tepee/DH130910","0",-0.388196219501237,"TP3_GI","Full","Base"
"28","SY_Tepee/DH130910","2",0.247960080143203,"TP3_GI","Full","Base"
"29","SY_Tepee/DH130910","Overall",0.861231341830858,"TP3_GI","Full","Base"
"30","Wintmalt/DH130910","0",0.627316507404152,"TP3_GI","Full","Base"
"31","Wintmalt/DH130910","2",0.796792537890653,"TP3_GI","Full","Base"
"32","Wintmalt/DH130910","Overall",0.933401897847235,"TP3_GI","Full","Base"
"33","Flavia/DH130910","2",0.708457090016332,"TP3_GI","Full","Base"
"34","Flavia/DH130910","Overall",0.708457090016332,"TP3_GI","Full","Base"
"35","Overall","0",0.177426161308072,"TP3_GI","Full","Base"
"36","Overall","2",0.618629860200079,"TP3_GI","Full","Base"
"37","Overall","Overall",0.836906181291773,"TP3_GI","Full","Base"
"38","Scala/DH130910","0",0.35209288831892,"TP3_GI","Full","Base"
"39","Scala/DH130910","2",0.296844693982456,"TP3_GI","Full","Base"
"40","Scala/DH130910","Overall",0.803473840535862,"TP3_GI","Full","Base"
"41","SY_Tepee/DH130910","0",-0.0700158214604341,"TP3_GI","Full","Base"
"42","SY_Tepee/DH130910","2",0.752433522817582,"TP3_GI","Full","Base"
"43","SY_Tepee/DH130910","Overall",0.862513154118256,"TP3_GI","Full","Base"
"44","Wintmalt/DH130910","0",0.289181288242772,"TP3_GI","Full","Base"
"45","Wintmalt/DH130910","2",0.630930712688951,"TP3_GI","Full","Base"
"46","Wintmalt/DH130910","Overall",0.831867924663558,"TP3_GI","Full","Base"
"47","DH130910","2",NA,"TP3_GI","Full","Base"
"48","DH130910","Overall",NA,"TP3_GI","Full","Base"
"49","Flavia/DH130910","2",-0.0165846685035383,"TP3_GI","Full","Base"
"50","Flavia/DH130910","Overall",-0.0165846685035383,"TP3_GI","Full","Base"
"51","Overall","0",0.29830890252968,"TP3_GI","Full","Base"
"52","Overall","2",0.332121436681476,"TP3_GI","Full","Base"
"53","Overall","Overall",0.84541722922232,"TP3_GI","Full","Base"
"54","Scala/DH130910","0",0.206310986445278,"TP3_GI","Full","Base"
"55","Scala/DH130910","2",0.667636517082271,"TP3_GI","Full","Base"
"56","Scala/DH130910","Overall",0.822705210795981,"TP3_GI","Full","Base"
"57","SY_Tepee/DH130910","0",0.209772456514292,"TP3_GI","Full","Base"
"58","SY_Tepee/DH130910","2",0.291804869142038,"TP3_GI","Full","Base"
"59","SY_Tepee/DH130910","Overall",0.872715379917053,"TP3_GI","Full","Base"
"60","Wintmalt/DH130910","0",0.54031905666645,"TP3_GI","Full","Base"
"61","Wintmalt/DH130910","2",0.186149067515831,"TP3_GI","Full","Base"
"62","Wintmalt/DH130910","Overall",0.842204187255622,"TP3_GI","Full","Base"
"63","Flavia/DH130910","2",0.217076583267893,"TP3_GI","Full","Base"
"64","Flavia/DH130910","Overall",0.217076583267893,"TP3_GI","Full","Base"
"65","Overall","0",0.329714002541286,"TP3_GI","Full","Base"
"66","Overall","2",0.24390514761903,"TP3_GI","Full","Base"
"67","Overall","Overall",0.83265115137845,"TP3_GI","Full","Base"
"68","Scala/DH130910","0",0.211731793437858,"TP3_GI","Full","Base"
"69","Scala/DH130910","2",0.317110832371977,"TP3_GI","Full","Base"
