"","Family","Qsd1","correlation","trait","Population","Model"
"1","DH130910","2",NA,"TP4_GE","Full","Base"
"2","DH130910","Overall",NA,"TP4_GE","Full","Base"
"3","Flavia/DH130910","2",0.423497375907358,"TP4_GE","Full","Base"
"4","Flavia/DH130910","Overall",0.423497375907358,"TP4_GE","Full","Base"
"5","Overall","0",-0.0292963333771502,"TP4_GE","Full","Base"
"6","Overall","2",0.353049582307218,"TP4_GE","Full","Base"
"7","Overall","Overall",0.36308318803004,"TP4_GE","Full","Base"
"8","Scala/DH130910","0",-0.144396179762076,"TP4_GE","Full","Base"
"9","Scala/DH130910","2",0.301638408434726,"TP4_GE","Full","Base"
"10","Scala/DH130910","Overall",0.0214976929519405,"TP4_GE","Full","Base"
"11","SY_Tepee/DH130910","0",-0.256692481118332,"TP4_GE","Full","Base"
"12","SY_Tepee/DH130910","2",0.425829271632025,"TP4_GE","Full","Base"
"13","SY_Tepee/DH130910","Overall",0.39565896510754,"TP4_GE","Full","Base"
"14","Wintmalt/DH130910","0",-0.0164378767942917,"TP4_GE","Full","Base"
"15","Wintmalt/DH130910","2",0.0639601882720655,"TP4_GE","Full","Base"
"16","Wintmalt/DH130910","Overall",0.326503647582134,"TP4_GE","Full","Base"
"17","DH130910","2",NA,"TP4_GE","Full","Base"
"18","DH130910","Overall",NA,"TP4_GE","Full","Base"
"19","Flavia/DH130910","2",0.191672155872414,"TP4_GE","Full","Base"
"20","Flavia/DH130910","Overall",0.191672155872414,"TP4_GE","Full","Base"
"21","Overall","0",0.130816212101582,"TP4_GE","Full","Base"
"22","Overall","2",0.426123792689233,"TP4_GE","Full","Base"
"23","Overall","Overall",0.486040222944679,"TP4_GE","Full","Base"
"24","Scala/DH130910","0",-0.0493039278581698,"TP4_GE","Full","Base"
"25","Scala/DH130910","2",0.374287604308373,"TP4_GE","Full","Base"
"26","Scala/DH130910","Overall",0.323865278807776,"TP4_GE","Full","Base"
"27","SY_Tepee/DH130910","0",0.212177129421091,"TP4_GE","Full","Base"
"28","SY_Tepee/DH130910","2",0.315363298652774,"TP4_GE","Full","Base"
"29","SY_Tepee/DH130910","Overall",0.396437133119661,"TP4_GE","Full","Base"
"30","Wintmalt/DH130910","0",-0.0296093358939757,"TP4_GE","Full","Base"
"31","Wintmalt/DH130910","2",0.34259378313897,"TP4_GE","Full","Base"
"32","Wintmalt/DH130910","Overall",0.430258975509566,"TP4_GE","Full","Base"
"33","Flavia/DH130910","2",0.130736996679895,"TP4_GE","Full","Base"
"34","Flavia/DH130910","Overall",0.130736996679895,"TP4_GE","Full","Base"
"35","Overall","0",0.226475326617277,"TP4_GE","Full","Base"
"36","Overall","2",0.136824116625292,"TP4_GE","Full","Base"
"37","Overall","Overall",0.250345926149534,"TP4_GE","Full","Base"
"38","Scala/DH130910","0",0.225496904293359,"TP4_GE","Full","Base"
"39","Scala/DH130910","2",-0.00594062747938333,"TP4_GE","Full","Base"
"40","Scala/DH130910","Overall",0.127300154571612,"TP4_GE","Full","Base"
"41","SY_Tepee/DH130910","0",-0.26548685354904,"TP4_GE","Full","Base"
"42","SY_Tepee/DH130910","2",0.31949719988017,"TP4_GE","Full","Base"
"43","SY_Tepee/DH130910","Overall",0.315554372148012,"TP4_GE","Full","Base"
"44","Wintmalt/DH130910","0",0.239705685168539,"TP4_GE","Full","Base"
"45","Wintmalt/DH130910","2",0.218098823286007,"TP4_GE","Full","Base"
"46","Wintmalt/DH130910","Overall",0.312258399345497,"TP4_GE","Full","Base"
"47","DH130910","2",NA,"TP4_GE","Full","Base"
"48","DH130910","Overall",NA,"TP4_GE","Full","Base"
"49","Flavia/DH130910","2",-0.0610493339322407,"TP4_GE","Full","Base"
"50","Flavia/DH130910","Overall",-0.0610493339322407,"TP4_GE","Full","Base"
"51","Overall","0",-0.0708671425535805,"TP4_GE","Full","Base"
"52","Overall","2",0.104506257846433,"TP4_GE","Full","Base"
"53","Overall","Overall",0.124982601570126,"TP4_GE","Full","Base"
"54","Scala/DH130910","0",-0.400478095297852,"TP4_GE","Full","Base"
"55","Scala/DH130910","2",0.0899742195214231,"TP4_GE","Full","Base"
"56","Scala/DH130910","Overall",-0.193628021729518,"TP4_GE","Full","Base"
"57","SY_Tepee/DH130910","0",0.469900465017541,"TP4_GE","Full","Base"
"58","SY_Tepee/DH130910","2",0.20096520392997,"TP4_GE","Full","Base"
"59","SY_Tepee/DH130910","Overall",0.312577574533064,"TP4_GE","Full","Base"
"60","Wintmalt/DH130910","0",0.424692750542825,"TP4_GE","Full","Base"
"61","Wintmalt/DH130910","2",-0.383864811818037,"TP4_GE","Full","Base"
"62","Wintmalt/DH130910","Overall",0.0970835441442928,"TP4_GE","Full","Base"
"63","Flavia/DH130910","2",-0.024702869727183,"TP4_GE","Full","Base"
"64","Flavia/DH130910","Overall",-0.024702869727183,"TP4_GE","Full","Base"
"65","Overall","0",-0.140791112653433,"TP4_GE","Full","Base"
"66","Overall","2",0.109218111867445,"TP4_GE","Full","Base"
"67","Overall","Overall",0.160152217951232,"TP4_GE","Full","Base"
"68","Scala/DH130910","0",-0.430505633176669,"TP4_GE","Full","Base"
"69","Scala/DH130910","2",0.206312676584842,"TP4_GE","Full","Base"
"70","Scala/DH130910","Overall",-0.262195203806765,"TP4_GE","Full","Base"
"71","SY_Tepee/DH130910","0",-0.10775631517323,"TP4_GE","Full","Base"
"72","SY_Tepee/DH130910","2",0.0837021029254701,"TP4_GE","Full","Base"
"73","SY_Tepee/DH130910","Overall",0.180669938549621,"TP4_GE","Full","Base"
"74","Wintmalt/DH130910","0",0.191970700514055,"TP4_GE","Full","Base"
"75","Wintmalt/DH130910","2",0.0919278677654358,"TP4_GE","Full","Base"
"76","Wintmalt/DH130910","Overall",0.30316621908348,"TP4_GE","Full","Base"
"77","DH130910","2",NA,"TP4_GE","Full","Base"
"78","DH130910","Overall",NA,"TP4_GE","Full","Base"
"79","Flavia/DH130910","2",0.0974436068394858,"TP4_GE","Full","Base"
"80","Flavia/DH130910","Overall",0.0974436068394858,"TP4_GE","Full","Base"
"81","Overall","0",0.0729762146815855,"TP4_GE","Full","Base"
"82","Overall","2",0.0372812621897751,"TP4_GE","Full","Base"
"83","Overall","Overall",0.221307755821168,"TP4_GE","Full","Base"
"84","Scala/DH130910","0",-0.218065561659708,"TP4_GE","Full","Base"
"85","Scala/DH130910","2",0.505476237443598,"TP4_GE","Full","Base"
"86","Scala/DH130910","Overall",0.206363536201485,"TP4_GE","Full","Base"
"87","SY_Tepee/DH130910","0",-0.107377723364131,"TP4_GE","Full","Base"
"88","SY_Tepee/DH130910","2",-0.134872049174176,"TP4_GE","Full","Base"
"89","SY_Tepee/DH130910","Overall",0.0695745148926474,"TP4_GE","Full","Base"
"90","Wintmalt/DH130910","0",0.213570054061548,"TP4_GE","Full","Base"
"91","Wintmalt/DH130910","2",-0.0954514839862088,"TP4_GE","Full","Base"
"92","Wintmalt/DH130910","Overall",0.163969976137944,"TP4_GE","Full","Base"
"93","Flavia/DH130910","2",0.184042358583551,"TP4_GE","Full","Base"
"94","Flavia/DH130910","Overall",0.184042358583551,"TP4_GE","Full","Base"
"95","Overall","0",0.0732192065606556,"TP4_GE","Full","Base"
"96","Overall","2",0.266234845507413,"TP4_GE","Full","Base"
"97","Overall","Overall",0.316235065926395,"TP4_GE","Full","Base"
"98","Scala/DH130910","0",-0.165764138109472,"TP4_GE","Full","Base"
"99","Scala/DH130910","2",0.057212464238081,"TP4_GE","Full","Base"
"100","Scala/DH130910","Overall",-0.131187529429697,"TP4_GE","Full","Base"
"101","SY_Tepee/DH130910","0",0.157422355602629,"TP4_GE","Full","Base"
"102","SY_Tepee/DH130910","2",-0.115325709262343,"TP4_GE","Full","Base"
"103","SY_Tepee/DH130910","Overall",0.133945004429244,"TP4_GE","Full","Base"
"104","Wintmalt/DH130910","0",0.102347285698442,"TP4_GE","Full","Base"
"105","Wintmalt/DH130910","2",0.297718259526551,"TP4_GE","Full","Base"
"106","Wintmalt/DH130910","Overall",0.43389711274884,"TP4_GE","Full","Base"
"107","Flavia/DH130910","2",0.445078428927455,"TP4_GE","Full","Base"
"108","Flavia/DH130910","Overall",0.445078428927455,"TP4_GE","Full","Base"
"109","Overall","0",0.0624947252630946,"TP4_GE","Full","Base"
"110","Overall","2",0.237158720672628,"TP4_GE","Full","Base"
"111","Overall","Overall",0.319790069801788,"TP4_GE","Full","Base"
"112","Scala/DH130910","0",-0.278824755961385,"TP4_GE","Full","Base"
"113","Scala/DH130910","2",0.189067914848981,"TP4_GE","Full","Base"
"114","Scala/DH130910","Overall",-0.11692470557202,"TP4_GE","Full","Base"
"115","SY_Tepee/DH130910","0",-0.200272690361726,"TP4_GE","Full","Base"
"116","SY_Tepee/DH130910","2",-0.000440834016956626,"TP4_GE","Full","Base"
"117","SY_Tepee/DH130910","Overall",0.189719378706389,"TP4_GE","Full","Base"
"118","Wintmalt/DH130910","0",0.229767524187122,"TP4_GE","Full","Base"
"119","Wintmalt/DH130910","2",0.273498144580263,"TP4_GE","Full","Base"
"120","Wintmalt/DH130910","Overall",0.392882717996442,"TP4_GE","Full","Base"
"121","Flavia/DH130910","2",0.0456506259449078,"TP4_GE","Full","Base"
"122","Flavia/DH130910","Overall",0.0456506259449078,"TP4_GE","Full","Base"
"123","Overall","0",0.217162509088324,"TP4_GE","Full","Base"
"124","Overall","2",0.174933688324669,"TP4_GE","Full","Base"
"125","Overall","Overall",0.259759549540312,"TP4_GE","Full","Base"
"126","Scala/DH130910","0",0.158506658606946,"TP4_GE","Full","Base"
"127","Scala/DH130910","2",0.286678062668495,"TP4_GE","Full","Base"
"128","Scala/DH130910","Overall",0.20879567482787,"TP4_GE","Full","Base"
"129","SY_Tepee/DH130910","0",0.252284459241674,"TP4_GE","Full","Base"
"130","SY_Tepee/DH130910","2",-0.0929039816327943,"TP4_GE","Full","Base"
"131","SY_Tepee/DH130910","Overall",0.124635004221566,"TP4_GE","Full","Base"
"132","Wintmalt/DH130910","0",0.296340233616392,"TP4_GE","Full","Base"
"133","Wintmalt/DH130910","2",0.361409777548721,"TP4_GE","Full","Base"
"134","Wintmalt/DH130910","Overall",0.364044734853055,"TP4_GE","Full","Base"
"135","Flavia/DH130910","2",0.171004397785979,"TP4_GE","Full","Base"
"136","Flavia/DH130910","Overall",0.171004397785979,"TP4_GE","Full","Base"
"137","Overall","0",0.39729424522843,"TP4_GE","Full","Base"
"138","Overall","2",0.064000093213389,"TP4_GE","Full","Base"
"139","Overall","Overall",0.236118385245821,"TP4_GE","Full","Base"
"140","Scala/DH130910","0",0.644857394550588,"TP4_GE","Full","Base"
"141","Scala/DH130910","2",0.197062638794233,"TP4_GE","Full","Base"
"142","Scala/DH130910","Overall",0.441103667643658,"TP4_GE","Full","Base"
"143","SY_Tepee/DH130910","0",-0.0144937257747637,"TP4_GE","Full","Base"
"144","SY_Tepee/DH130910","2",-0.148679628654219,"TP4_GE","Full","Base"
"145","SY_Tepee/DH130910","Overall",0.0494368237155758,"TP4_GE","Full","Base"
"146","Wintmalt/DH130910","0",0.507490237927126,"TP4_GE","Full","Base"
"147","Wintmalt/DH130910","2",0.0935365173693284,"TP4_GE","Full","Base"
"148","Wintmalt/DH130910","Overall",0.219035557076629,"TP4_GE","Full","Base"
"149","DH130910","2",NA,"TP4_GE","Full","Base"
"150","DH130910","Overall",NA,"TP4_GE","Full","Base"
"151","Flavia/DH130910","2",0.234143897563203,"TP4_GE","Full","Base"
"152","Flavia/DH130910","Overall",0.234143897563203,"TP4_GE","Full","Base"
"153","Overall","0",0.0897276623834522,"TP4_GE","Full","Base"
"154","Overall","2",0.197441665102322,"TP4_GE","Full","Base"
"155","Overall","Overall",0.284159760709444,"TP4_GE","Full","Base"
"156","Scala/DH130910","0",-0.148432463099528,"TP4_GE","Full","Base"
"157","Scala/DH130910","2",0.330887861433876,"TP4_GE","Full","Base"
"158","Scala/DH130910","Overall",0.139240773201485,"TP4_GE","Full","Base"
"159","SY_Tepee/DH130910","0",0.323164911529897,"TP4_GE","Full","Base"
"160","SY_Tepee/DH130910","2",0.0317091101270777,"TP4_GE","Full","Base"
"161","SY_Tepee/DH130910","Overall",0.213930123875859,"TP4_GE","Full","Base"
"162","Wintmalt/DH130910","0",0.313474850180707,"TP4_GE","Full","Base"
"163","Wintmalt/DH130910","2",-0.027996862746297,"TP4_GE","Full","Base"
"164","Wintmalt/DH130910","Overall",0.164704677275948,"TP4_GE","Full","Base"
"165","Flavia/DH130910","2",0.195683962917319,"TP4_GE","Full","Base"
"166","Flavia/DH130910","Overall",0.195683962917319,"TP4_GE","Full","Base"
"167","Overall","0",0.191867532565905,"TP4_GE","Full","Base"
"168","Overall","2",0.190262353507574,"TP4_GE","Full","Base"
"169","Overall","Overall",0.303877948447393,"TP4_GE","Full","Base"
"170","Scala/DH130910","0",0.151215881309968,"TP4_GE","Full","Base"
"171","Scala/DH130910","2",-0.106286909169428,"TP4_GE","Full","Base"
"172","Scala/DH130910","Overall",0.100115522652818,"TP4_GE","Full","Base"
"173","SY_Tepee/DH130910","0",0.0919815945282683,"TP4_GE","Full","Base"
"174","SY_Tepee/DH130910","2",0.054093291610456,"TP4_GE","Full","Base"
"175","SY_Tepee/DH130910","Overall",0.259936663355904,"TP4_GE","Full","Base"
"176","Wintmalt/DH130910","0",0.331981443214832,"TP4_GE","Full","Base"
"177","Wintmalt/DH130910","2",0.486983011374724,"TP4_GE","Full","Base"
"178","Wintmalt/DH130910","Overall",0.485881281864985,"TP4_GE","Full","Base"
"179","Flavia/DH130910","2",0.36123821504047,"TP4_GE","Full","Base"
"180","Flavia/DH130910","Overall",0.36123821504047,"TP4_GE","Full","Base"
"181","Overall","0",0.017774839790389,"TP4_GE","Full","Base"
"182","Overall","2",0.199519716483529,"TP4_GE","Full","Base"
"183","Overall","Overall",0.295297746712855,"TP4_GE","Full","Base"
"184","Scala/DH130910","0",0.121482311399752,"TP4_GE","Full","Base"
"185","Scala/DH130910","2",0.208875820913713,"TP4_GE","Full","Base"
"186","Scala/DH130910","Overall",0.220214669256678,"TP4_GE","Full","Base"
"187","SY_Tepee/DH130910","0",-0.237122174900739,"TP4_GE","Full","Base"
