"","Family","Qsd1","correlation","ModelCalled","trait","trainingPop"
"1","Flavia/DH130910","2",0.40218746346463,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"2","Flavia/DH130910","Overall",0.40218746346463,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"3","Overall","0",0.310857889319413,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"4","Overall","2",0.0583122113729335,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"5","Overall","Overall",0.524888995410683,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"6","SY_Tepee/DH130910","0",0.365672544039148,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"7","SY_Tepee/DH130910","2",0.13362520896619,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"8","SY_Tepee/DH130910","Overall",0.468579045907788,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"9","Scala/DH130910","0",-0.0874052067098883,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"10","Scala/DH130910","2",-0.00692137827354112,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"11","Scala/DH130910","Overall",0.273750279417902,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"12","Wintmalt/DH130910","0",0.585568108790058,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"13","Wintmalt/DH130910","2",-0.175505380420419,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"14","Wintmalt/DH130910","Overall",0.715853730214269,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"15","Flavia/DH130910","2",-0.103473472416568,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"16","Flavia/DH130910","Overall",-0.103473472416568,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"17","Overall","0",0.494170670861248,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"18","Overall","2",0.158523830820758,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"19","Overall","Overall",0.52517615679714,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"20","SY_Tepee/DH130910","0",0.8401631655441,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"21","SY_Tepee/DH130910","2",0.559956698033769,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"22","SY_Tepee/DH130910","Overall",0.67012930715178,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"23","Scala/DH130910","0",0.419562495498417,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"24","Scala/DH130910","2",-0.0520316958258803,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"25","Scala/DH130910","Overall",0.355453129098358,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"26","Wintmalt/DH130910","0",0.628118692889737,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"27","Wintmalt/DH130910","2",0.0608872246423833,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"28","Wintmalt/DH130910","Overall",0.663637851679119,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"29","Flavia/DH130910","2",0.19100651313423,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"30","Flavia/DH130910","Overall",0.19100651313423,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"31","Overall","0",0.539006635177826,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"32","Overall","2",0.0967826303663677,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"33","Overall","Overall",0.590828502109849,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"34","SY_Tepee/DH130910","0",0.291822273636541,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"35","SY_Tepee/DH130910","2",0.0156272345502317,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"36","SY_Tepee/DH130910","Overall",0.448683066542331,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"37","Scala/DH130910","0",0.562511444516495,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"38","Scala/DH130910","2",-0.696030199471168,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"39","Scala/DH130910","Overall",0.627482928831683,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"40","Wintmalt/DH130910","0",0.539153870212563,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"41","Wintmalt/DH130910","2",0.424750243480848,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"42","Wintmalt/DH130910","Overall",0.514118304320371,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"43","Flavia/DH130910","2",-0.0113864154719464,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"44","Flavia/DH130910","Overall",-0.0113864154719464,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"45","Overall","0",0.296855840115794,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"46","Overall","2",0.369236847395695,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"47","Overall","Overall",0.453606080111026,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"48","SY_Tepee/DH130910","0",0.293396061255812,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"49","SY_Tepee/DH130910","2",0.554803509504572,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"50","SY_Tepee/DH130910","Overall",0.477782121288671,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"51","Scala/DH130910","0",0.300768548264874,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"52","Scala/DH130910","2",0.506881657058021,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
"53","Scala/DH130910","Overall",0.442453048104349,"Qsd1byFam_JCWithFixEff.eta","TP1_GI_2021","Full"
