"","Family","Qsd1","correlation","ModelCalled","trait","trainingPop"
"1","Flavia/DH130910","2",0.545910737805351,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"2","Flavia/DH130910","Overall",0.545910737805351,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"3","Overall","0",0.149500262056219,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"4","Overall","2",0.474226329758544,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"5","Overall","Overall",0.918184463524754,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"6","SY_Tepee/DH130910","0",-0.245487375108692,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"7","SY_Tepee/DH130910","2",0.535492590179548,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"8","SY_Tepee/DH130910","Overall",0.942172843717828,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"9","Scala/DH130910","0",0.432644511724693,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"10","Scala/DH130910","2",0.620649476267852,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"11","Scala/DH130910","Overall",0.927881888434763,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"12","Wintmalt/DH130910","0",0.138294770456847,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"13","Wintmalt/DH130910","2",0.107939949848346,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"14","Wintmalt/DH130910","Overall",0.899125707217881,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"15","Flavia/DH130910","2",0.670992195171927,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"16","Flavia/DH130910","Overall",0.670992195171927,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"17","Overall","0",0.382822692342308,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"18","Overall","2",0.609330659597291,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"19","Overall","Overall",0.895242925407882,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"20","SY_Tepee/DH130910","0",0.419047024914728,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"21","SY_Tepee/DH130910","2",0.698081037132212,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"22","SY_Tepee/DH130910","Overall",0.919273126502909,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"23","Scala/DH130910","0",0.641235731667407,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"24","Scala/DH130910","2",0.271359038935354,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"25","Scala/DH130910","Overall",0.907436665639514,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"26","Wintmalt/DH130910","0",0.586065830336275,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"27","Wintmalt/DH130910","2",0.543616127868199,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"28","Wintmalt/DH130910","Overall",0.868549522622685,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"29","Flavia/DH130910","2",0.779890518711095,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"30","Flavia/DH130910","Overall",0.779890518711095,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"31","Overall","0",0.185745603530945,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"32","Overall","2",0.623898272884402,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"33","Overall","Overall",0.933160715133431,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"34","SY_Tepee/DH130910","0",-0.560208443432408,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
"35","SY_Tepee/DH130910","2",0.0438729896033513,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2020_2021","Full"
