"","Family","Qsd1","correlation","ModelCalled","trait","trainingPop"
"1","Flavia/DH130910","2",0.286034199474942,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"2","Flavia/DH130910","Overall",0.286034199474942,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"3","Overall","0",0.253568262567133,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"4","Overall","2",0.061008976323323,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"5","Overall","Overall",0.848160470903102,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"6","SY_Tepee/DH130910","0",-0.096291042353925,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"7","SY_Tepee/DH130910","2",0.135496794373956,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"8","SY_Tepee/DH130910","Overall",0.851424217600912,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"9","Scala/DH130910","0",0.532099499065094,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"10","Scala/DH130910","2",0.278089409224413,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"11","Scala/DH130910","Overall",0.886167380631431,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"12","Wintmalt/DH130910","0",0.425788370433933,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"13","Wintmalt/DH130910","2",-0.149062573502559,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"14","Wintmalt/DH130910","Overall",0.839533067996631,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"15","Flavia/DH130910","2",0.257330666551618,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"16","Flavia/DH130910","Overall",0.257330666551618,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"17","Overall","0",0.474696988244373,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"18","Overall","2",0.155177936478943,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"19","Overall","Overall",0.836479126969203,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"20","SY_Tepee/DH130910","0",0.57694312368246,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"21","SY_Tepee/DH130910","2",0.296377656002396,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"22","SY_Tepee/DH130910","Overall",0.858204595992761,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"23","Scala/DH130910","0",0.786529904066419,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"24","Scala/DH130910","2",-0.00348814355880486,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"25","Scala/DH130910","Overall",0.926625177237441,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"26","Wintmalt/DH130910","0",0.652061805151959,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"27","Wintmalt/DH130910","2",-0.118011576847839,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"28","Wintmalt/DH130910","Overall",0.801651349408623,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"29","Flavia/DH130910","2",0.116203511942412,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"30","Flavia/DH130910","Overall",0.116203511942412,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"31","Overall","0",0.331481893528896,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"32","Overall","2",-0.0683874620035267,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"33","Overall","Overall",0.869683341464234,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"34","SY_Tepee/DH130910","0",-0.473158805831458,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"35","SY_Tepee/DH130910","2",-0.234272188773709,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"36","SY_Tepee/DH130910","Overall",0.819298143526871,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"37","Scala/DH130910","0",0.341773259646614,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"38","Scala/DH130910","2",-0.774552663952804,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"39","Scala/DH130910","Overall",0.921337940966397,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"40","Wintmalt/DH130910","0",0.335623314599498,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"41","Wintmalt/DH130910","2",0.242357536560708,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"42","Wintmalt/DH130910","Overall",0.873044504052575,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"43","Flavia/DH130910","2",0.319636961666954,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"44","Flavia/DH130910","Overall",0.319636961666954,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"45","Overall","0",0.31123906232644,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"46","Overall","2",0.30506050417857,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"47","Overall","Overall",0.89327727245921,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"48","SY_Tepee/DH130910","0",0.257881816896123,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"49","SY_Tepee/DH130910","2",0.556136140373368,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"50","SY_Tepee/DH130910","Overall",0.947354446898172,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"51","Scala/DH130910","0",0.329369022104185,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"52","Scala/DH130910","2",0.352119063330613,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"53","Scala/DH130910","Overall",0.897653397674672,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"54","Wintmalt/DH130910","0",0.389270734672872,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"55","Wintmalt/DH130910","2",0.24864748927933,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"56","Wintmalt/DH130910","Overall",0.83154694875493,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"57","Flavia/DH130910","2",0.678103463429093,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"58","Flavia/DH130910","Overall",0.678103463429093,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"59","Overall","0",0.391987719004786,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"60","Overall","2",0.188421416645743,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"61","Overall","Overall",0.869507592440836,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"62","SY_Tepee/DH130910","0",0.482017734011424,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"63","SY_Tepee/DH130910","2",-0.0455221440586684,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"64","SY_Tepee/DH130910","Overall",0.8040386645723,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"65","Scala/DH130910","0",0.20571130038103,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"66","Scala/DH130910","2",0.258181337409503,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"67","Scala/DH130910","Overall",0.93486513336737,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"68","Wintmalt/DH130910","0",0.47676762612821,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
"69","Wintmalt/DH130910","2",0.539944252160475,"Qsd1byFam_JCWithFixEff.eta","TP2_GE_2021","Full"
