"","Family","Qsd1","correlation","ModelCalled","trait","trainingPop"
"1","Flavia/DH130910","2",0.242857725371864,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"2","Flavia/DH130910","Overall",0.242857725371864,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"3","Overall","0",0.563847297302372,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"4","Overall","2",0.35532910960626,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"5","Overall","Overall",0.785015061407044,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"6","SY_Tepee/DH130910","0",0.489585170293223,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"7","SY_Tepee/DH130910","2",0.631457051265724,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"8","SY_Tepee/DH130910","Overall",0.85681799329244,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"9","Scala/DH130910","0",0.596409115023912,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"10","Scala/DH130910","2",0.480952272623409,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"11","Scala/DH130910","Overall",0.648543280326315,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"12","Wintmalt/DH130910","0",0.107815690629751,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"13","Wintmalt/DH130910","2",0.121712893965945,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"14","Wintmalt/DH130910","Overall",0.844380384081089,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"15","Flavia/DH130910","2",0.107391112793323,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"16","Flavia/DH130910","Overall",0.107391112793323,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"17","Overall","0",0.474082311922605,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"18","Overall","2",0.291596439838308,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"19","Overall","Overall",0.710483848879559,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"20","SY_Tepee/DH130910","0",0.31469061806997,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"21","SY_Tepee/DH130910","2",0.165715255083541,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"22","SY_Tepee/DH130910","Overall",0.710385699985504,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"23","Scala/DH130910","0",0.66418227349315,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"24","Scala/DH130910","2",0.299978280937464,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"25","Scala/DH130910","Overall",0.635946249107677,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"26","Wintmalt/DH130910","0",0.236328598354765,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"27","Wintmalt/DH130910","2",0.425406228296811,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"28","Wintmalt/DH130910","Overall",0.819359937039886,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"29","Flavia/DH130910","2",0.286084321901252,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"30","Flavia/DH130910","Overall",0.286084321901252,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"31","Overall","0",0.47234294420912,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"32","Overall","2",0.482860873098918,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"33","Overall","Overall",0.807153097146871,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"34","SY_Tepee/DH130910","0",-0.162152221745397,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"35","SY_Tepee/DH130910","2",0.611464894737234,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"36","SY_Tepee/DH130910","Overall",0.782533519586915,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"37","Scala/DH130910","0",0.568594302258338,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"38","Scala/DH130910","2",0.589800955839209,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"39","Scala/DH130910","Overall",0.841656618862249,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"40","Wintmalt/DH130910","0",0.459826505946887,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"41","Wintmalt/DH130910","2",0.439887313088252,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"42","Wintmalt/DH130910","Overall",0.855178362607845,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"43","Flavia/DH130910","2",0.514769402261422,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"44","Flavia/DH130910","Overall",0.514769402261422,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"45","Overall","0",0.571702858536893,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"46","Overall","2",0.452503273596885,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"47","Overall","Overall",0.744312138492919,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"48","SY_Tepee/DH130910","0",0.291338721956792,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"49","SY_Tepee/DH130910","2",0.706741282976639,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"50","SY_Tepee/DH130910","Overall",0.835869902631598,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"51","Scala/DH130910","0",0.600063932422454,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"52","Scala/DH130910","2",0.21392126735029,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"53","Scala/DH130910","Overall",0.691829474103748,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"54","Wintmalt/DH130910","0",0.158760229463346,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"55","Wintmalt/DH130910","2",0.49373523100493,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"56","Wintmalt/DH130910","Overall",0.791553213926394,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
"57","Flavia/DH130910","2",0.11559543846884,"Qsd1byFam_JCWithFixEff.eta","TP4_GI_2020_2021","Full"
