"","year","trait","TP","Qsd1Train","Family","Qsd1","correlation","Spearman_Cor","n_test","n_train","fold","trainingProportion"
"1","2021","GE","TP1",0,"Overall",0,0.42934767927823,0.402830188679245,105,40,1,40
"2","2021","GE","TP1",0,"Overall",2,0.226110776571634,0.234456506555793,208,40,1,40
"3","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.1843882039928,0.363789152024446,34,9,1,40
"4","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.168242223855933,0.13670943938355,82,9,1,40
"5","2021","GE","TP1",0,"Scala/DH130910",0,0.344226076890528,0.285917496443812,37,17,1,40
"6","2021","GE","TP1",0,"Scala/DH130910",2,0.0477927623040693,0.0584651283380866,57,17,1,40
"7","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.477216769591924,0.487242169595111,34,14,1,40
"8","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.279367856906073,0.280664586268709,68,14,1,40
"9","2021","GE","TP1",0,"Overall",0,0.414367111160147,0.423616006634874,105,40,2,40
"10","2021","GE","TP1",0,"Overall",2,0.234657634239572,0.291210031314536,208,40,2,40
"11","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.264382485491544,0.363177998472116,34,9,2,40
"12","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.0864930493859606,0.0928048236305656,82,9,2,40
"13","2021","GE","TP1",0,"Scala/DH130910",0,0.307333485742424,0.228137651821862,39,15,2,40
"14","2021","GE","TP1",0,"Scala/DH130910",2,0.15757466714799,0.167358050298159,57,15,2,40
"15","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.457513881189884,0.533357771260997,32,16,2,40
"16","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.225457822895281,0.286772214123587,68,16,2,40
"17","2021","GE","TP1",0,"Overall",0,0.449912959084449,0.452985693551731,105,40,3,40
"18","2021","GE","TP1",0,"Overall",2,0.321430438146529,0.363241761227557,208,40,3,40
"19","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.212511033617257,0.366310160427808,33,10,3,40
"20","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.244118794514096,0.220731163134925,82,10,3,40
"21","2021","GE","TP1",0,"Scala/DH130910",0,0.371423824424695,0.263157894736842,37,17,3,40
"22","2021","GE","TP1",0,"Scala/DH130910",2,0.203860063442123,0.242157116930257,57,17,3,40
"23","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.523381425833491,0.591596638655462,35,13,3,40
"24","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.352360402336421,0.404458568352276,68,13,3,40
"25","2021","GE","TP1",0,"Overall",0,0.432271175340187,0.418702052664317,105,40,4,40
"26","2021","GE","TP1",0,"Overall",2,0.297817058994318,0.308169812509623,208,40,4,40
"27","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.0629657757879324,0.236293436293436,36,7,4,40
"28","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.0168337063510057,-0.0372329426105506,82,7,4,40
"29","2021","GE","TP1",0,"Scala/DH130910",0,0.399204455794791,0.367567567567568,36,18,4,40
"30","2021","GE","TP1",0,"Scala/DH130910",2,0.155086957573233,0.195035001296344,57,18,4,40
"31","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.503541576106586,0.489973262032086,33,15,4,40
"32","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.391319977941638,0.407168828212878,68,15,4,40
"33","2021","GE","TP1",0,"Overall",0,0.436920097680723,0.406956251295874,105,40,5,40
"34","2021","GE","TP1",0,"Overall",2,0.405701855776307,0.378974698681531,208,40,5,40
"35","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.0916471510033777,0.146390374331551,33,10,5,40
"36","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.181416284393925,0.128220197864629,82,10,5,40
"37","2021","GE","TP1",0,"Scala/DH130910",0,0.389841305610756,0.290418118466899,41,13,5,40
"38","2021","GE","TP1",0,"Scala/DH130910",2,0.188913990198328,0.245009074410163,57,13,5,40
