"","year","trait","TP","Family","Qsd1","correlation","Spearman_Cor","n_test","n_train","fold","trainingProportion"
"1","2021","GE","TP1","Overall","0",0.251050409469099,0.24416679779701,124,40,1,40
"2","2021","GE","TP1","Overall","2",0.122028960047966,0.0449235188356697,189,40,1,40
"3","2021","GE","TP1","Overall","AllAlleles",0.388568566220455,0.364719998168535,313,40,1,40
"4","2021","GE","TP1","SY_Tepee/DH130910","0",0.173372257548513,0.288180112570356,40,12,1,40
"5","2021","GE","TP1","SY_Tepee/DH130910","2",0.405028626446131,0.222726150808343,73,12,1,40
"6","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.435060238968721,0.450479073790671,113,12,1,40
"7","2021","GE","TP1","Scala/DH130910","0",0.442524746572986,0.31599718111346,44,13,1,40
"8","2021","GE","TP1","Scala/DH130910","2",0.0245181664673223,0.0643034114732228,54,13,1,40
"9","2021","GE","TP1","Scala/DH130910","AllAlleles",0.490790257322682,0.482036863480162,98,13,1,40
"10","2021","GE","TP1","Wintmalt/DH130910","0",0.364949824222668,0.385741088180112,40,15,1,40
"11","2021","GE","TP1","Wintmalt/DH130910","2",0.208274436025151,0.0661563479215394,61,15,1,40
"12","2021","GE","TP1","Wintmalt/DH130910","AllAlleles",0.473996080099962,0.377595741398635,101,15,1,40
"13","2021","GE","TP1","Overall","0",0.233658296580781,0.28526139901117,128,40,2,40
"14","2021","GE","TP1","Overall","2",0.14683240459371,0.103007944171889,185,40,2,40
"15","2021","GE","TP1","Overall","AllAlleles",0.386457030527364,0.419574720540172,313,40,2,40
"16","2021","GE","TP1","SY_Tepee/DH130910","0",0.439464342118758,0.572163256373783,38,11,2,40
"17","2021","GE","TP1","SY_Tepee/DH130910","2",0.301389435515416,0.0503896103896104,76,11,2,40
"18","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.521326794897235,0.452242765436099,114,11,2,40
"19","2021","GE","TP1","Scala/DH130910","0",0.465171027172008,0.332099907493062,46,15,2,40
"20","2021","GE","TP1","Scala/DH130910","2",0.171783313701202,0.299399759903962,50,15,2,40
"21","2021","GE","TP1","Scala/DH130910","AllAlleles",0.500604309568288,0.507867607162235,96,15,2,40
"22","2021","GE","TP1","Wintmalt/DH130910","0",0.387296625520763,0.511205073995772,44,14,2,40
"23","2021","GE","TP1","Wintmalt/DH130910","2",0.0644827664257682,0.131873202408818,58,14,2,40
"24","2021","GE","TP1","Wintmalt/DH130910","AllAlleles",0.47360879783922,0.517940294205366,102,14,2,40
"25","2021","GE","TP1","Overall","0",0.283648496391827,0.266377880184332,125,40,3,40
"26","2021","GE","TP1","Overall","2",0.316846251845767,0.310493776714872,188,40,3,40
"27","2021","GE","TP1","Overall","AllAlleles",0.412618799630558,0.470096886637129,313,40,3,40
"28","2021","GE","TP1","SY_Tepee/DH130910","0",0.359458280168752,0.45019305019305,36,12,3,40
"29","2021","GE","TP1","SY_Tepee/DH130910","2",0.331833272979234,0.21956990378043,77,12,3,40
"30","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.471300003108166,0.44606261228292,113,12,3,40
"31","2021","GE","TP1","Scala/DH130910","0",0.166879243737172,0.0269387755102041,49,10,3,40
"32","2021","GE","TP1","Scala/DH130910","2",0.122659844930632,0.0566891488090156,52,10,3,40
"33","2021","GE","TP1","Scala/DH130910","AllAlleles",0.260914927578655,0.212719860221316,101,10,3,40
"34","2021","GE","TP1","Wintmalt/DH130910","0",0.357265084429023,0.345215759849906,40,18,3,40
"35","2021","GE","TP1","Wintmalt/DH130910","2",0.372194207422625,0.365037374265588,58,18,3,40
"36","2021","GE","TP1","Wintmalt/DH130910","AllAlleles",0.490238507964668,0.539977940567042,98,18,3,40
"37","2021","GE","TP1","Overall","0",0.21835436819298,0.173338431495719,130,40,4,40
"38","2021","GE","TP1","Overall","2",0.227959441792738,0.109788394754955,183,40,4,40
"39","2021","GE","TP1","Overall","AllAlleles",0.377385737616686,0.379002685170202,313,40,4,40
"40","2021","GE","TP1","SY_Tepee/DH130910","0",0.172130335968203,0.332859174964438,37,16,4,40
"41","2021","GE","TP1","SY_Tepee/DH130910","2",0.209010108784707,0.187825583638819,72,16,4,40
"42","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.34744434161573,0.409174311926605,109,16,4,40
"43","2021","GE","TP1","Scala/DH130910","0",0.351670655809946,0.208858011289622,48,14,4,40
"44","2021","GE","TP1","Scala/DH130910","2",0.195640732414432,0.172959183673469,49,14,4,40
"45","2021","GE","TP1","Scala/DH130910","AllAlleles",0.474954788761404,0.474963181148748,97,14,4,40
"46","2021","GE","TP1","Wintmalt/DH130910","0",0.168221944465929,0.125955204216074,45,10,4,40
"47","2021","GE","TP1","Wintmalt/DH130910","2",0.340028636961782,0.102195957121003,61,10,4,40
"48","2021","GE","TP1","Wintmalt/DH130910","AllAlleles",0.360758238134612,0.332887454688954,106,10,4,40
"49","2021","GE","TP1","Overall","0",0.231154688776647,0.24010498687664,126,40,5,40
"50","2021","GE","TP1","Overall","2",0.207331687832888,0.279018127498082,187,40,5,40
"51","2021","GE","TP1","Overall","AllAlleles",0.394832674719421,0.482586998480041,313,40,5,40
"52","2021","GE","TP1","SY_Tepee/DH130910","0",0.166310381524622,0.194337194337194,36,13,5,40
"53","2021","GE","TP1","SY_Tepee/DH130910","2",0.353606955938277,0.137224880382775,76,13,5,40
"54","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.439198045304185,0.43548194211911,112,13,5,40
"55","2021","GE","TP1","Scala/DH130910","0",0.138217417691123,0.172068511198946,45,15,5,40
"56","2021","GE","TP1","Scala/DH130910","2",0.170438727447538,0.0895022624434389,51,15,5,40
"57","2021","GE","TP1","Scala/DH130910","AllAlleles",0.378233080384236,0.456673901247965,96,15,5,40
"58","2021","GE","TP1","Wintmalt/DH130910","0",0.134115805109128,0.137417654808959,45,12,5,40
"59","2021","GE","TP1","Wintmalt/DH130910","2",0.0584757112723205,0.205260081823495,59,12,5,40
"60","2021","GE","TP1","Wintmalt/DH130910","AllAlleles",0.306591322836652,0.361474447882215,104,12,5,40
"61","2021","GE","TP1","Overall","0",0.244256367672375,0.261362706530291,124,40,6,40
"62","2021","GE","TP1","Overall","2",0.225037749338794,0.343215460288815,189,40,6,40
"63","2021","GE","TP1","Overall","AllAlleles",0.343246443064947,0.450698231257059,313,40,6,40
"64","2021","GE","TP1","SY_Tepee/DH130910","0",0.218823504437377,0.285178236397749,40,9,6,40
"65","2021","GE","TP1","SY_Tepee/DH130910","2",0.290447559171799,0.236582365003418,76,9,6,40
"66","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.442217653031198,0.481082535655249,116,9,6,40
"67","2021","GE","TP1","Scala/DH130910","0",-0.129936424973516,-0.00493305144467935,44,15,6,40
"68","2021","GE","TP1","Scala/DH130910","2",0.229290169186923,0.134209852300862,52,15,6,40
"69","2021","GE","TP1","Scala/DH130910","AllAlleles",0.210141821800324,0.373697775366251,96,15,6,40
"70","2021","GE","TP1","Wintmalt/DH130910","0",0.263489422107735,0.280863039399625,40,16,6,40
"71","2021","GE","TP1","Wintmalt/DH130910","2",0.0836748022657509,0.277132536815782,60,16,6,40
"72","2021","GE","TP1","Wintmalt/DH130910","AllAlleles",0.365921441668094,0.438151815181518,100,16,6,40
"73","2021","GE","TP1","Overall","0",0.365930879091538,0.366888416815742,129,40,7,40
"74","2021","GE","TP1","Overall","2",0.228054690757468,0.324522090233371,184,40,7,40
"75","2021","GE","TP1","Overall","AllAlleles",0.405892559499232,0.459639189670694,313,40,7,40
"76","2021","GE","TP1","SY_Tepee/DH130910","0",0.0701092036721257,0.221621621621622,36,22,7,40
"77","2021","GE","TP1","SY_Tepee/DH130910","2",0.25238817072115,0.166334104876686,67,22,7,40
"78","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.378518526687359,0.404439221543733,103,22,7,40
"79","2021","GE","TP1","Scala/DH130910","0",0.389857863608818,0.266334841628959,51,8,7,40
"80","2021","GE","TP1","Scala/DH130910","2",0.0634620364642408,0.020916929906941,52,8,7,40
"81","2021","GE","TP1","Scala/DH130910","AllAlleles",0.49274015517439,0.443570706848834,103,8,7,40
"82","2021","GE","TP1","Wintmalt/DH130910","0",0.411522786670619,0.502957620938336,42,10,7,40
"83","2021","GE","TP1","Wintmalt/DH130910","2",0.192078538757235,0.11094449341951,64,10,7,40
"84","2021","GE","TP1","Wintmalt/DH130910","AllAlleles",0.499175052409673,0.47555854487529,106,10,7,40
"85","2021","GE","TP1","Overall","0",0.323291195540503,0.328449239713775,129,40,8,40
"86","2021","GE","TP1","Overall","2",0.259172127643209,0.356617266387352,184,40,8,40
"87","2021","GE","TP1","Overall","AllAlleles",0.403113387655155,0.488717952179793,313,40,8,40
"88","2021","GE","TP1","SY_Tepee/DH130910","0",0.281959117985442,0.348739495798319,35,17,8,40
"89","2021","GE","TP1","SY_Tepee/DH130910","2",0.340031049998707,0.299179316302604,73,17,8,40
"90","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.478577018962657,0.53664485028628,108,17,8,40
